Horário,Objetos,Largura
2022-11-28T18:23:23.017159400,2,40
2022-11-28T18:26:01.632354400,2,40
2022-11-28T18:26:06.580613200,2,40
2022-11-28T18:26:11.496750100,2,40
2022-11-28T18:26:16.670578200,2,40
2022-11-28T18:26:21.616796400,2,40
2022-11-28T18:26:38.661151900,2,40
2022-11-28T18:33:22.403548800,0,0
2022-11-28T18:33:27.421704,0,0
2022-11-29T09:06:54.440755700,0,0
2022-11-29T09:07:00.281445200,0,0
2022-11-29T09:52:54.900246300,0,8
2022-11-29T09:58:09.669884,0,0
2022-11-29T10:06:25.019912,3,73
2022-11-29T10:10:04.209553900,0,5
2022-11-29T10:22:32.323578300,0,15
2022-11-29T10:29:43.182284100,0,1
2022-11-29T10:34:05.367664200,3,62
2022-11-29T10:34:59.128724800,3,62
2022-11-29T10:37:13.272530100,3,62
2022-11-29T10:55:30.065528800,2,49
2022-11-29T11:05:51.949081,0,18
2022-11-29T11:12:04.824099,0,18
2022-11-29T11:13:00.897938200,0,7
2022-11-29T11:13:55.373737300,0,19
2022-11-29T11:30:10.540542400,1,22
2022-11-29T11:32:50.101849600,1,21
2022-11-29T11:34:37.921328200,1,31
2022-11-29T11:36:00.821587900,0,11
2022-11-29T11:38:09.287985100,4,71
2022-11-29T11:39:40.404605,1,55
2022-11-29T11:41:43.941696800,1,36
2022-11-29T11:43:35.077747300,2,57
2022-11-29T11:45:35.907040100,2,56
2022-11-29T11:48:55.099802800,1,32
2022-11-29T11:50:02.128960500,2,54
2022-11-29T11:52:05.068292800,3,75
2022-11-29T11:54:23.547729500,3,84
2022-11-29T16:47:19.833953,0,0
2022-11-29T16:47:37.225214400,0,0
2022-11-29T16:47:39.461804,0,0
2022-11-29T16:47:41.706814300,0,0
2022-11-29T16:47:43.917672,0,0
2022-11-29T16:49:27.591510600,0,0
2022-11-29T16:49:29.816780,0,0
2022-11-29T16:49:32.040015400,0,0
2022-11-29T16:49:34.470439700,0,0
2022-11-29T16:51:42.673308100,2,60
2022-11-29T16:51:44.831780,2,60
2022-11-29T16:52:46.852663100,2,73
2022-11-29T16:52:49.073309500,2,73
2022-11-29T16:53:07.317071400,2,73
2022-11-29T16:53:09.496882400,2,73
2022-11-29T16:53:33.907326200,2,73
2022-11-29T16:53:36.118993600,2,73
2022-11-29T16:53:38.290722400,2,73
2022-11-29T16:53:40.488991600,2,73
2022-11-29T16:53:42.703333300,2,73
2022-11-29T16:53:44.867764100,2,73
2022-11-29T16:53:47.075646,2,73
2022-11-29T16:53:49.263557100,2,73
2022-11-29T16:53:51.577778500,2,73
2022-11-29T16:53:53.751271800,2,73
2022-11-29T16:53:55.957272200,2,73
2022-11-29T16:53:58.141905500,2,73
2022-11-29T16:54:00.341702800,2,73
2022-11-29T16:54:02.561222300,2,73
2022-11-29T16:54:04.785286500,2,73
2022-11-29T16:54:07.028789200,2,73
2022-11-29T16:54:09.281517800,2,73
2022-11-29T16:54:11.475055100,2,73
2022-11-29T16:54:13.686361400,2,73
2022-11-29T16:54:23.068449800,2,73
2022-11-29T16:54:40.023720800,2,73
2022-11-29T16:54:42.221432900,2,73
2022-11-29T16:54:44.417865,2,73
2022-11-29T16:54:50.400558400,2,73
2022-11-29T16:56:20.939191300,2,73
2022-11-29T16:56:23.226716600,2,73
2022-11-29T16:56:27.869335800,2,73
2022-11-29T16:56:30.032221600,2,73
2022-11-29T16:56:32.258338500,2,73
2022-11-29T16:56:54.078533200,2,73
2022-11-29T16:56:56.284213,2,73
2022-11-29T16:57:43.972513800,2,73
2022-11-29T16:58:41.671730500,0,0
2022-11-29T16:58:43.931523600,0,0
2022-11-29T16:58:46.187038200,0,0
2022-11-29T16:58:48.418392200,0,0
2022-11-29T16:59:18.191520400,4,118
2022-11-29T16:59:26.848387700,5,128
2022-11-29T16:59:28.990430400,5,128
2022-11-29T16:59:31.140295800,5,128
2022-11-29T16:59:35.926061,5,128
2022-11-29T16:59:38.072283700,5,128
2022-11-29T16:59:47.673095400,5,128
2022-11-29T16:59:49.835566100,5,128
2022-11-29T16:59:51.990766600,5,128
2022-11-29T16:59:54.143190100,5,128
2022-11-29T16:59:56.311501700,5,128
2022-11-29T16:59:58.475417500,5,128
2022-11-29T17:00:00.653299600,5,128
2022-11-29T17:00:02.802045800,5,128
2022-11-29T17:00:04.979483800,5,128
2022-11-29T17:00:07.149119100,5,128
2022-11-29T17:00:10.328600500,5,128
2022-11-29T17:00:15.427979800,5,128
2022-11-29T17:00:20.044634,5,128
2022-11-29T17:00:22.210492500,5,128
2022-11-29T17:00:24.408455900,5,128
2022-11-29T17:00:26.549112400,5,128
2022-11-29T17:00:28.711763200,5,128
2022-11-29T17:00:30.850527400,5,128
2022-11-29T17:00:33.001246,5,128
2022-11-29T17:00:36.005267,5,128
